Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Main script:Open to Home page,31,14,11,22,22,48,8,48,0.000%,3.45712,109.16,1.63
Main script:Open Contacts,34,19,8,36,49,170,6,170,0.000%,3.84311,79.99,1.81
Main script:Open Random Date,33,13,8,22,26,87,6,87,3.030%,3.69872,102.25,1.81
Main script:Open Large Calendar,40,16,15,26,29,39,8,39,0.000%,4.59559,130.54,2.24
Main script:Open post,59,19,14,31,42,67,6,194,0.000%,6.53812,166.04,3.18
Main script:Comment,30,12,9,16,23,76,6,76,0.000%,3.47062,8.16,8.03
Main script:Open Predefined Date,35,12,10,23,28,38,5,38,0.000%,4.18160,66.89,2.04
Main script:Open Random Page,68,10,9,16,25,34,5,41,1.471%,8.36511,192.93,4.15
Main script:Open Search by name,29,16,11,42,50,52,7,52,0.000%,3.56090,92.19,1.74
TOTAL,359,15,10,26,39,67,5,194,0.557%,37.88518,863.53,24.20
