Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Open to Home page,55,38,8,104,23.64,0.000%,4.27450,134.96,1.99,32332.0
Open Predefined Date,49,35,6,87,21.95,0.000%,3.77358,60.36,1.83,16379.0
Open Random Page,95,33,6,103,22.04,0.000%,7.44864,182.39,3.63,25073.9
Open Search by name,55,33,7,97,19.20,0.000%,4.45416,115.34,2.15,26516.9
Open post,81,37,8,94,21.31,0.000%,6.40721,162.84,3.10,26024.4
Open Large Calendar,42,38,9,99,25.48,0.000%,3.27307,92.97,1.60,29087.0
Open Contacts,56,40,7,127,28.16,0.000%,4.41884,91.99,2.09,21316.7
Comment,36,50,9,157,36.34,0.000%,2.90042,6.82,6.71,2407.3
Open Random Date,46,35,7,93,20.02,0.000%,3.77451,107.85,1.85,29257.9
TOTAL,515,37,6,157,24.33,0.000%,39.39417,924.58,24.04,24033.4
